url,safety_tag,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,login_form,favicon,links_in_tags,email_submission_forms,internal_media_count,external_media_count,sfh,nb_iframe,nb_popup_window_count,onmouseover,right click disabled,empty_title,page_depth
https://admin2.ondoc.co.kr/vxgo4kiuum3baoChromepublicfari537.html?eta=3mail@a.b.c0,malicious,0,0,0,0,3,1,0,1,1,0,1,False,1,0,False,False,False,7
http://pub-8c1be1f2764c443096fe5ba20d7802b5.r2.dev/index.html,malicious,2,0.0,0.0,0.0,0,1,1,1,0,0,96,True,0,0,False,False,False,7
http://robl.vercel.app/,malicious,34,0.0,0.058823529411764705,0.17647058823529413,17,1,1,1,0,2,5,False,1,0,False,False,False,16
http://easy-bank-code.vercel.app/,malicious,31,0.03225806451612903,0.0,0.03225806451612903,1,0,0,0,0,15,0,False,0,0,False,False,False,7
http://invoicenotices.com/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a,malicious,2,0.0,0.0,0.0,0,1,0,1,0,1,0,True,0,0,False,False,False,9
http://tech-institute.org/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a,malicious,2,0.0,0.0,0.0,0,1,0,1,0,1,0,True,0,0,False,False,False,9
http://im.nbpublic.com/loading_page_cpl/amazon/amazon_cf_4/index.html?lptoken=17aa60187602241299c8&cep=N4Igdgpg7g+gFgSwC4wQExALhAQwOxp54QCMArALQ4AMALCRbQJx4BMFTtAxgBwXU4ARmjJNq1IrVYgANCABuCAM7JUGbDhIAzVhFY8AbBQDMEJjkZMmgqgbTV+aLrR5NjNJmQOyFy1UgQAWwglJBxAgAcsEFZqVkoSBxIeABU6TBISTGMmADo8AzwALR9FFSQAewAnNWicMmMeEjRWGxwICGNGFpseWIZWLjwtJq4ILjIeah8ucIicBABzMFrsAx4O6h58Lw3WPHESVuMtA3qfMAq0CFWQablL65gkAE8IiGiAGRwwNAQwRYXK43LhwBZgLAAbTuIAAunIIlUQhAADbjJAQNAwR4fTCgV7vL4/P4AnxhKqLCAodDRdabPBcNAbHgMwSHVisOzXe7gYG3HmQAAeSCw+LeuJAAHktFoIFUyTgKVTbnSIFtBszWezOWhrtIHnyadhqDABRBhVgwABXFEogC+drkoPBMAiFXKCAqELxIC4VqqSLASAAcsCAJK/c1YahyQRVH6giN/MZKKGwx0gZQwJF/JFcEWYJBVK0QOQARyUUR9ODQ8hgs0iC2Wt2ANfrczUdp8NbrFRlcpbPelsqqYbQXbkOBlCBRCBwGJbAAF/loKrklFbBPWwWBICjFxPcL8qhV0C3rvIx4fiSez2fAiJosAL2OALIiQ9cWdcADWS5Xa5fggv7oAeMxIvOCDyDcRogMAXAQQE0FXuBECQdB2LhBK8GIVBEDBlhh6LAs6hwcR6BESRMAPmQT7kWg75kIe6BaDgT4sTgzFoKx1GPtgwAcYxzHBAg7EicJEAILxtH8UEklCT4gQ4FwT5KVwh5qdJqnKQpcgVCRT76RRPhGViNGGSRukgH2I6YcET7LmAq65A28xLGAuQ2QOYBYWBchWmx/EBYeVpWrBwCOc5rlNh5PnBGBGZZpAUBYKxKJKBAdpAA,malicious,1,0.0,1.0,0.0,1,0,0,1,0,1,0,False,0,0,True,False,False,5
http://im.nbpublic.com/loading_page/amazon/AmazonGiftCard_10/index.html?lptoken=17e1629705be74da1605&cep=N4Igdgpg7g+gFgSwC4wQExALhAIwGYBMAzAIzF4C0AhiXgCwV0AMEAnBQByFEU4DshCGho4ArKwBsIADQgAbggDOyVBmwcqdAhwIkGHVlUrMiaCqz0MmEqgRY6+EEgGMZ8pSqQIAthEVIqbwAHLBA7AlEKEhIKJgIAFSYiTFFkolEAOlY+DgAtNwVlJAB7ACdVUKJbPkMIBj4+KghGQypePiIeAgkIHS0JcQgpWWdAoKoEAHMwCuwJViYSHGc0CCIJJjxxJkXu5zoiMTcwYtXZkCYYEmPTiBgkAE8giFCAGSowNAQwSZuz5zgEzAWAA2hcriAALqyIKlPwQAA2EGcSCEMBOqywoEezzeHy+PzcAVKkwgKHQoXmixwaGYBAIVCYdAgOzIEQITlEfzuFOwl2uskgAA8kFiQDiXtgAPJ4PAQUpEqgksnnKlLHBUVjORpGOy7VJCGnc86XU0AH35MCYFpgBCtxwgIqwYAArgiEQBfD0jQHfGBBYpFBDFYGYUDOF2lOFgJAAOVuAElPo6sExZDhSh8AUmvs4/KDId6QEoYHCvnCUVgkKUXRBZABHRQhMMgZwIhDOADW52AbY73fQHrczjhVC8ch5ahAvdH48nQ9kVDQchgo2CE2mPaXK7X4ymM0Hw9nCAn6MCkunI4gY5PdzA54XIBdLt50+fh8Xy5gxVl8q3X5/OVyg/EBAL/e9fFCYAwPKCCIEfIw8AQdsx0nKDEOQhBUNUR90DwKgoLwqhcLQfCYG8NAuWwYAiPIyjH0mCYp2ARiQNYtA6Ko6d2M43DfAQQj+L4iAEE4wSRN4tx8VKYp0C3T4ZLkkDpNkji5IorjgBUpSOI0x9vCoVxqIM5x9MMsTjPMvS3GKJioNskCHN0yj7KYyTZBdAjqM8ocixLSAoCwfCEUUeCgA=,malicious,10,0.0,0.2,0.0,0,0,0,1,0,5,0,False,0,0,False,False,False,10
https://wanderson-a-timoteo.github.io/instagram-interface/,malicious,6,0.0,0.0,0.3333333333333333,0,0,0,0,0,3,0,False,0,0,False,False,False,7
https://account-log.kesug.com/check-action.php?i=1,malicious,0,0,0,0,0,0,0,1,0,0,0,False,0,0,False,False,True,2
