url,safety_tag,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,login_form,favicon,links_in_tags,email_submission_forms,internal_media_count,external_media_count,sfh,nb_iframe,nb_popup_window_count,onmouseover,right click disabled,empty_title,page_depth
http://gb.554689231.xyz/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
http://project-beta-topaz-83.vercel.app/,malicious,8,0,0.75,0,0,0,0,1,0,10,0,FALSE,0,0,FALSE,FALSE,FALSE,10
http://zeabur1.ccwav.top/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
http://www.3656pp.com/,malicious,1,0,0,0,0,0,0,0,0,1,0,FALSE,0,0,FALSE,FALSE,TRUE,6
http://americanexpress.vercel.app/,malicious,45,0,0,0,0,1,0,0,0,0,3,TRUE,0,0,FALSE,FALSE,FALSE,10
https://welcome--en-us-exodse.typedream.app/,malicious,1,0,1,0,0,0,1,1,0,0,3,FALSE,0,0,FALSE,FALSE,FALSE,8
https://exodus-web3-wallet-app.typedream.app/,malicious,1,0,1,0,0,0,1,1,0,0,1,FALSE,0,0,FALSE,FALSE,FALSE,7
https://learn-web3-exdous.typedream.app/,malicious,2,0,0.5,0,0,0,1,1,0,0,1,FALSE,0,0,FALSE,FALSE,FALSE,8
http://7665aa.com/,malicious,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,FALSE,FALSE,FALSE,2
http://ccc.mqzz.qzz.io/,malicious,233,0,0.8798283261802575,0,9,0,0,1,0,0,138,FALSE,0,0,TRUE,FALSE,FALSE,20
http://start-live-desktop.daftpage.com/,malicious,4,0.25,0.25,0.25,6,0,1,1,0,0,2,FALSE,0,0,FALSE,FALSE,FALSE,16
https://tiktok.mall-iiw.shop/3.html,malicious,245,0,0.9918367346938776,0,0,0,1,1,0,12,1,TRUE,0,0,FALSE,FALSE,FALSE,19
http://tiktok.mall-iiw.shop/2.html,malicious,110,0,0.9363636363636364,0.027272727,0,0,0,1,0,0,1,TRUE,0,0,TRUE,FALSE,FALSE,13
http://gec8.120572.xyz/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
https://195937.com/,malicious,35,0,0.37142857142857144,0,0,0,0,1,0,10,0,FALSE,0,0,FALSE,FALSE,TRUE,9
http://imtoken.shopee111.com/,malicious,28,0,0.39285714285714285,0.035714286,0,0,1,1,0,28,0,FALSE,0,0,FALSE,FALSE,FALSE,9
https://robiox.com.af/users/8784292977/profile,malicious,22,0,0.13636363636363635,0.3181818181818182,36,0,1,1,0,2,7,FALSE,1,0,FALSE,FALSE,FALSE,22
http://gmn.952155.xyz/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
https://yuexia.zeabur.app/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
https://vioaki.zeabur.app/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
https://zcygemini.zeabur.app/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
http://ambitious-objects-055440.framer.app/,malicious,1,0,1,0,0,0,2,1,1,0,1,FALSE,0,0,FALSE,FALSE,FALSE,8
http://abhiahek123.github.io/Amazon-Clone,malicious,34,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,FALSE,FALSE,FALSE,6
